start_station,end_station,directions_time_min,same_line,interchange_station,metro_distance_km,start_lat,start_lng,end_lat,end_lng,start_place_id,end_place_id,start_line,end_line,transfer_count
Vajarahalli,Infosys Foundation Konappana Agrahara,43.0,False,Rashtreeya Vidyalaya Road,22.705000000000002,12.877485,77.544817,12.84626,77.67114699999999,ChIJEWbGgfY_rjsR45lwRFCiNx8,ChIJ8dqs_o1srjsR6g5x43RGVag,Green Line,Yellow Line,1
Infosys Foundation Konappana Agrahara,Vajarahalli,43.0,False,Rashtreeya Vidyalaya Road,22.705000000000002,12.84626,77.67114699999999,12.877485,77.544817,ChIJ8dqs_o1srjsR6g5x43RGVag,ChIJEWbGgfY_rjsR45lwRFCiNx8,Yellow Line,Green Line,1
Vajarahalli,Huskur Road,45.0,False,Rashtreeya Vidyalaya Road,24.325000000000003,12.877485,77.544817,12.838885,77.677433,ChIJEWbGgfY_rjsR45lwRFCiNx8,ChIJRy2y2_RsrjsRnL3f4oQ1FqM,Green Line,Yellow Line,1
Huskur Road,Vajarahalli,45.0,False,Rashtreeya Vidyalaya Road,24.325000000000003,12.838885,77.677433,12.877485,77.544817,ChIJRy2y2_RsrjsRnL3f4oQ1FqM,ChIJEWbGgfY_rjsR45lwRFCiNx8,Yellow Line,Green Line,1
Vajarahalli,Biocon Hebbagodi,46.0,False,Rashtreeya Vidyalaya Road,25.735000000000003,12.877485,77.544817,12.828967,77.681405,ChIJEWbGgfY_rjsR45lwRFCiNx8,ChIJx19GElxsrjsRafNq-buRnPM,Green Line,Yellow Line,1
Biocon Hebbagodi,Vajarahalli,46.0,False,Rashtreeya Vidyalaya Road,25.735000000000003,12.828967,77.681405,12.877485,77.544817,ChIJx19GElxsrjsRafNq-buRnPM,ChIJEWbGgfY_rjsR45lwRFCiNx8,Yellow Line,Green Line,1
Vajarahalli,Delta Electronics Bommasandra,48.0,False,Rashtreeya Vidyalaya Road,27.066000000000003,12.877485,77.544817,12.8193154,77.68834009999999,ChIJEWbGgfY_rjsR45lwRFCiNx8,ChIJ69SM2khtrjsRuP3F0YoA2Go,Green Line,Yellow Line,1
Delta Electronics Bommasandra,Vajarahalli,48.0,False,Rashtreeya Vidyalaya Road,27.066000000000003,12.8193154,77.68834009999999,12.877485,77.544817,ChIJ69SM2khtrjsRuP3F0YoA2Go,ChIJEWbGgfY_rjsR45lwRFCiNx8,Yellow Line,Green Line,1
Thalaghattapura,Ragigudda,20.0,False,Rashtreeya Vidyalaya Road,9.762,12.871366,77.538439,12.9170037,77.58833589999999,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJx9Z8dQAVrjsRDKWBrI6O0_Y,Green Line,Yellow Line,1
Ragigudda,Thalaghattapura,20.0,False,Rashtreeya Vidyalaya Road,9.762,12.9170037,77.58833589999999,12.871366,77.538439,ChIJx9Z8dQAVrjsRDKWBrI6O0_Y,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
